,Movie,Box Office,Release Date_x,Award_date,Win or Nominated,Release Year,Release Month
380,If a Tree Falls: A Story of the Earth Liberation Front,61153.0,2011-06-22,2012-02-26,N,2011.0,6.0
381,Paradise Lost 3: Purgatory,0.0,2011-10-10,2012-02-26,N,2011.0,10.0
382,Pina,3520458.0,2011-02-24,2012-02-26,N,2011.0,2.0
383,Undefeated,561054.0,2011-03-13,2012-02-26,W,2011.0,3.0
384,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,0.0,2011-01-01,2012-02-26,N,2011.0,1.0
385,Incident in New Baghdad,0.0,2011-04-24,2012-02-26,N,2011.0,4.0
387,The Tsunami and the Cherry Blossom,0.0,2011-09-12,2012-02-26,N,2011.0,9.0
389,Monsieur Lazhar,2009041.0,2011-09-10,2012-02-26,N,2011.0,9.0
390,The Adventures of Tintin,75300000.0,2011-10-25,2012-02-26,N,2011.0,10.0
392,La Luna,0.0,1979-08-29,2005-02-27,N,1979.0,8.0
393,Pentecost,0.0,2011-02-10,2012-02-26,N,2011.0,2.0
397,Tuba Atlantic,0.0,2010-02-10,2011-02-27,N,2010.0,2.0
398,Drive,34300000.0,2011-08-06,2012-02-26,N,2011.0,8.0
399,Transformers: Dark of the Moon,352358779.0,2011-06-28,2012-02-26,N,2011.0,6.0
400,Real Steel,85463309.0,2011-09-28,2012-02-26,N,2011.0,9.0
401,Rise of the Planet of the Apes,175300000.0,2011-08-03,2012-02-26,N,2011.0,8.0
402,The Ides of March,40962534.0,2011-09-24,2012-02-26,N,2011.0,9.0
403,Margin Call,600000.0,2011-09-28,2012-02-26,N,2011.0,9.0
406,Brave,237282182.0,2012-06-21,2013-02-24,W,2012.0,6.0
407,Frankenweenie,35287788.0,2012-10-04,2013-02-24,N,2012.0,10.0
408,ParaNorman,55994557.0,2012-08-03,2013-02-24,N,2012.0,8.0
409,Wreck-It Ralph,189412677.0,2012-11-01,2013-02-24,N,2012.0,11.0
410,Anna Karenina,12802907.0,2012-09-06,2013-02-24,W,2012.0,9.0
411,Life of Pi,103500000.0,2012-11-20,2013-02-24,W,2012.0,11.0
412,Skyfall,299300000.0,2012-10-25,2013-02-24,W,2012.0,10.0
413,Mirror Mirror,64933670.0,2012-03-15,2013-02-24,N,2012.0,3.0
414,Snow White and the Huntsman,155081785.0,2012-05-30,2013-02-24,N,2012.0,5.0
415,Five Broken Cameras,108541.0,2011-11-23,2012-02-26,N,2011.0,11.0
416,The Gatekeepers,2408553.0,2012-07-09,2013-02-24,N,2012.0,7.0
