,Movie,Release Date_x,Award_date,Release Year
489,Leviathan,1989-03-17,2005-02-27,1989.0
490,Timbuktu,2014-12-10,2015-02-22,2014.0
491,Guardians of the Galaxy,2014-07-30,2015-02-22,2014.0
492,Interstellar,2014-11-05,2015-02-22,2014.0
493,Selma,2014-12-25,2015-02-22,2014.0
494,The Bigger Picture,2014-05-21,2015-02-22,2014.0
495,The Dam Keeper,2014-02-06,2015-02-22,2014.0
496,Feast,2014-11-07,2015-02-22,2014.0
497,A Single Life,2014-12-04,2015-02-22,2014.0
498,Boogaloo and Graham,2014-08-01,2015-02-22,2014.0
499,Parvaneh,2012-11-01,2013-02-24,2012.0
500,The Phone Call,2013-10-20,2014-03-02,2013.0
501,The Hobbit: The Battle of the Five Armies,2014-12-10,2015-02-22,2014.0
502,Captain America: The Winter Soldier,2014-03-20,2015-02-22,2014.0
503,Dawn of the Planet of the Apes,2014-06-26,2015-02-22,2014.0
504,X-Men: Days of Future Past,2014-05-15,2015-02-22,2014.0
505,Nightcrawler,2014-10-23,2015-02-22,2014.0
506,Sing Your Song,2012-01-13,2013-02-24,2012.0
507,Busy Bodies,1933-10-07,2005-02-27,1933.0
508,Driven,2001-04-27,2005-02-27,2001.0
509,Anomalisa,2015-12-30,2016-02-28,2015.0
510,Inside Out,2015-06-09,2016-02-28,2015.0
511,Shaun the Sheep Movie,2015-02-05,2016-02-28,2015.0
512,Mad Max: Fury Road,2015-05-13,2016-02-28,2015.0
513,Sicario,2015-09-17,2016-02-28,2015.0
514,Cinderella,2015-03-12,2016-02-28,2015.0
515,Amy,2015-07-03,2016-02-28,2015.0
516,Cartel Land,2015-07-03,2016-02-28,2015.0
517,The Look of Silence,2014-08-30,2015-02-22,2014.0
518,"What Happened, Miss Simone?",2015-01-22,2016-02-28,2015.0
519,Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,2016-02-28,2015.0
520,Body Team 12,2015-04-19,2016-02-28,2015.0
521,"Chau, Beyond the Lines",2015-08-21,2016-02-28,2015.0
522,A Girl in the River: The Price of Forgiveness,2015-10-28,2016-02-28,2015.0
523,Last Day of Freedom,2015-04-11,2016-02-28,2015.0
524,Star Wars: The Force Awakens,2015-12-15,2016-02-28,2015.0
525,Mustang,2015-06-17,2016-02-28,2015.0
527,The Bath Song & More Kids Songs: Super Simple Songs,2015-04-22,2016-02-28,2015.0
528,Prologue,2015-06-01,2016-02-28,2015.0
529,Sanjay's Super Team,2015-11-25,2016-02-28,2015.0
530,World of Tomorrow,2015-03-05,2016-02-28,2015.0
531,Ave Maria,2015-05-18,2016-02-28,2015.0
532,Shok,2015-04-10,2016-02-28,2015.0
533,Stutterer,2015-07-08,2016-02-28,2015.0
534,Ex Machina,2015-01-21,2016-02-28,2015.0
535,Straight Outta Compton,2015-08-13,2016-02-28,2015.0
537,He Got Game,1998-05-01,2005-02-27,1998.0
