,Movie,Release Date_x,Award_date,Release Year
116,The Help,2011-08-09,2012-02-26,2011.0
117,The Girl with the Dragon Tattoo,2011-12-14,2012-02-26,2011.0
118,The Iron Lady,2011-12-30,2012-02-26,2011.0
119,Bridesmaids,2011-05-13,2012-02-26,2011.0
120,La corrupción de Chris Miller,1973-05-17,2005-02-27,1973.0
121,Rango,2011-03-02,2012-02-26,2011.0
122,Woody Allen: A Documentary,2011-11-20,2012-02-26,2011.0
123,The Living Daylights,1987-06-29,2005-02-27,1987.0
124,Silver Linings Playbook,2012-09-08,2013-02-24,2012.0
125,Lincoln,2012-11-09,2013-02-24,2012.0
126,Les Misérables,2012-12-18,2013-02-24,2012.0
127,The Master,2012-09-07,2013-02-24,2012.0
128,Flight,2012-11-02,2013-02-24,2012.0
129,Argo,2012-10-11,2013-02-24,2012.0
130,Django Unchained,2012-12-25,2013-02-24,2012.0
131,Zero Dark Thirty,2012-12-19,2013-02-24,2012.0
132,Amour,2012-07-01,2013-02-24,2012.0
133,Beasts of the Southern Wild,2012-06-29,2013-02-24,2012.0
134,Lo imposible,2012-09-09,2013-02-24,2012.0
135,The Sessions,2012-05-02,2013-02-24,2012.0
136,Corpse Bride,2005-09-12,2006-03-05,2005.0
137,Before I Disappear,2014-10-11,2015-02-22,2014.0
138,Nebraska,2013-09-21,2014-03-02,2013.0
139,The Wolf of Wall Street,2013-12-25,2014-03-02,2013.0
140,12 Years a Slave,2013-10-18,2014-03-02,2013.0
141,Dallas Buyers Club,2013-11-17,2014-03-02,2013.0
142,Captain Phillips,2013-10-10,2014-03-02,2013.0
143,Blue Jasmine,2013-07-25,2014-03-02,2013.0
144,Gravity,2013-10-03,2014-03-02,2013.0
145,Philomena,2013-11-01,2014-03-02,2013.0
146,August: Osage County,2013-12-26,2014-03-02,2013.0
147,Intrusion: Cambodia,1983-03-03,2005-02-27,1983.0
148,"Palestine, Palestine",2002-07-03,2005-02-27,2002.0
149,Foxcatcher,2014-05-19,2015-02-22,2014.0
150,American Sniper,2014-12-11,2015-02-22,2014.0
151,The Imitation Game,2014-11-14,2015-02-22,2014.0
152,The Theory of Everything,2014-11-26,2015-02-22,2014.0
153,The Judge,2014-10-08,2015-02-22,2014.0
154,Boyhood,2014-06-05,2015-02-22,2014.0
