Award,Winner,Film
Music (Original Score),,Alexandre Desplat
Music (Original Song),,Music by Henry Krieger and Scott Cutler; Lyric by Anne Preven
Music (Original Song),,Music by Henry Krieger; Lyric by Siedah Garrett
Music (Original Song),,Music and Lyric by Randy Newman
Music (Original Song),,Music by Henry Krieger; Lyric by Willie Reale
Best Picture,,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers"
Best Picture,,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers"
Best Picture,,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers"
Best Picture,,"Andy Harries, Christine Langan and Tracey Seaward, Producers"
Short Film (Animated),,Gary Rydstrom
Short Film (Animated),,Roger Allers and Don Hahn
Short Film (Animated),,Géza M. Tóth
Short Film (Animated),,Chris Renaud and Michael Thurmeier
Short Film (Live Action),,Javier Fesser and Luis Manso
Short Film (Live Action),,Borja Cobeaga
Short Film (Live Action),,Søren Pilmark and Kim Magnusson
Short Film (Live Action),,Peter Templeman and Stuart Parkyn
Sound Editing,,Sean McCormack and Kami Asgar
Sound Editing,,Lon Bender
Sound Editing,,Alan Robert Murray and Bub Asman
Sound Editing,,Christopher Boyes and George Watters II
Sound Mixing,,"Kevin O'Connell, Greg P. Russell and Fernando Cámara"
Sound Mixing,,"Andy Nelson, Anna Behlmer and Ivan Sharrock"
Sound Mixing,,"John Reitz, Dave Campbell, Gregg Rudloff and Walt Martin"
Sound Mixing,,"Paul Massey, Christopher Boyes and Lee Orloff"
Visual Effects,,"Boyd Shermis, Kim Libreri, Chas Jarrett and John Frazier"
Visual Effects,,"Mark Stetson, Neil Corbould, Richard R. Hoover and Jon Thum"
Writing (Adapted Screenplay),,Screenplay by Sacha Baron Cohen & Anthony Hines & Peter Baynham & Dan Mazer; Story by Sacha Baron Cohen & Peter Baynham & Anthony Hines & Todd Phillips
Writing (Adapted Screenplay),,Screenplay by Alfonso Cuarón & Timothy J. Sexton and David Arata and Mark Fergus & Hawk Ostby
Writing (Adapted Screenplay),,Screenplay by Todd Field & Tom Perrotta
Writing (Adapted Screenplay),,Screenplay by Patrick Marber
Writing (Original Screenplay),,Written by Guillermo Arriaga
Writing (Original Screenplay),,Screenplay by Iris Yamashita; Story by Iris Yamashita & Paul Haggis
Writing (Original Screenplay),,Written by Guillermo del Toro
Writing (Original Screenplay),,Written by Peter Morgan
Actor in a Leading Role,,Michael Clayton
Actor in a Leading Role,,Sweeney Todd The Demon Barber of Fleet Street
Actor in a Leading Role,,In the Valley of Elah
Actor in a Leading Role,,Eastern Promises
Actor in a Supporting Role,,The Assassination of Jesse James by the Coward Robert Ford
Actor in a Supporting Role,,Charlie Wilson's War
Actor in a Supporting Role,,Into the Wild
Actor in a Supporting Role,,Michael Clayton
Actress in a Leading Role,,Elizabeth: The Golden Age
Actress in a Leading Role,,Away from Her
Actress in a Leading Role,,The Savages
Actress in a Leading Role,,Juno
Actress in a Supporting Role,,I'm Not There
Actress in a Supporting Role,,American Gangster
Actress in a Supporting Role,,Atonement
Actress in a Supporting Role,,Gone Baby Gone
Animated Feature Film,,Marjane Satrapi and Vincent Paronnaud
Animated Feature Film,,Ash Brannon and Chris Buck
Art Direction,,Art Direction: Arthur Max; Set Decoration: Beth A. Rubino
Art Direction,,Art Direction: Sarah Greenwood; Set Decoration: Katie Spencer
Art Direction,,Art Direction: Dennis Gassner; Set Decoration: Anna Pinnock
Art Direction,,Art Direction: Jack Fisk; Set Decoration: Jim Erickson
Cinematography,,Roger Deakins
Cinematography,,Seamus McGarvey
Cinematography,,Janusz Kaminski
Cinematography,,Roger Deakins
Costume Design,,Albert Wolsky
Costume Design,,Jacqueline Durran
Costume Design,,Marit Allen
Costume Design,,Colleen Atwood
Directing,,Julian Schnabel
Directing,,Jason Reitman
Directing,,Tony Gilroy
Directing,,Paul Thomas Anderson
Documentary (Feature),,Charles Ferguson and Audrey Marrs
Documentary (Feature),,Richard E. Robbins
Documentary (Feature),,Michael Moore and Meghan O'Hara
Documentary (Feature),,Andrea Nix Fine and Sean Fine
Documentary (Short Subject),,Amanda Micheli and Isabel Vega
Documentary (Short Subject),,Tim Sternberg and Francisco Bello
Documentary (Short Subject),,James Longley
Film Editing,,Juliette Welfling
Film Editing,,Jay Cassidy
Film Editing,,Roderick Jaynes
Film Editing,,Dylan Tichenor
Foreign Language Film,,Israel
Foreign Language Film,,Poland
Foreign Language Film,,Kazakhstan
Foreign Language Film,,Russia
Makeup,,Rick Baker and Kazuhiro Tsuji
Makeup,,Ve Neill and Martin Samuel
