Award,Winner,Film
Foreign Language Film,1.0,Argentina
Makeup,1.0,"Barney Burman, Mindy Hall and Joel Harlow"
Music (Original Score),1.0,Michael Giacchino
Music (Original Song),1.0,Music and Lyric by Ryan Bingham and T Bone Burnett
Best Picture,1.0,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
Short Film (Animated),1.0,Nicolas Schmerkin
Short Film (Live Action),1.0,Joachim Back and Tivi Magnusson
Sound Editing,1.0,Paul N.J. Ottosson
Sound Mixing,1.0,Paul N.J. Ottosson and Ray Beckett
Visual Effects,1.0,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones"
Writing (Adapted Screenplay),1.0,Screenplay by Geoffrey Fletcher
Writing (Original Screenplay),1.0,Written by Mark Boal
Honorary Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Irving G. Thalberg Memorial Award,1.0,
Actor in a Leading Role,1.0,The King's Speech
Actor in a Supporting Role,1.0,The Fighter
Actress in a Leading Role,1.0,Black Swan
Actress in a Supporting Role,1.0,The Fighter
Animated Feature Film,1.0,Lee Unkrich
Art Direction,1.0,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara
Cinematography,1.0,Wally Pfister
Costume Design,1.0,Colleen Atwood
Directing,1.0,Tom Hooper
Documentary (Feature),1.0,Charles Ferguson and Audrey Marrs
Documentary (Short Subject),1.0,Karen Goodman and Kirk Simon
Film Editing,1.0,Angus Wall and Kirk Baxter
Foreign Language Film,1.0,Denmark
Makeup,1.0,Rick Baker and Dave Elsey
Music (Original Score),1.0,Trent Reznor and Atticus Ross
Music (Original Song),1.0,Music and Lyric by Randy Newman
Best Picture,1.0,"Iain Canning, Emile Sherman and Gareth Unwin, Producers"
Short Film (Animated),1.0,Shaun Tan and Andrew Ruhemann
Short Film (Live Action),1.0,Luke Matheny
Sound Editing,1.0,Richard King
Sound Mixing,1.0,"Lora Hirschberg, Gary A. Rizzo and Ed Novick"
Visual Effects,1.0,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb"
Writing (Adapted Screenplay),1.0,Screenplay by Aaron Sorkin
Writing (Original Screenplay),1.0,Screenplay by David Seidler
Honorary Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Irving G. Thalberg Memorial Award,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,The Artist
Actor in a Supporting Role,1.0,Beginners
Actress in a Leading Role,1.0,The Iron Lady
Actress in a Supporting Role,1.0,The Help
Animated Feature Film,1.0,Gore Verbinski
Art Direction,1.0,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
Cinematography,1.0,Robert Richardson
Costume Design,1.0,Mark Bridges
Directing,1.0,Michel Hazanavicius
Documentary (Feature),1.0,"TJ Martin, Dan Lindsay and Rich Middlemas"
Documentary (Short Subject),1.0,Daniel Junge and Sharmeen Obaid-Chinoy
Film Editing,1.0,Kirk Baxter and Angus Wall
Foreign Language Film,1.0,Iran
Makeup,1.0,Mark Coulier and J. Roy Helland
Music (Original Score),1.0,Ludovic Bource
Music (Original Song),1.0,Music and Lyric by Bret McKenzie
Best Picture,1.0,"Thomas Langmann, Producer"
Short Film (Animated),1.0,William Joyce and Brandon Oldenburg
Short Film (Live Action),1.0,Terry George and Oorlagh George
Sound Editing,1.0,Philip Stockton and Eugene Gearty
Sound Mixing,1.0,Tom Fleischman and John Midgley
Visual Effects,1.0,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning"
Writing (Adapted Screenplay),1.0,Screenplay by Alexander Payne and Nat Faxon & Jim Rash
Writing (Original Screenplay),1.0,Written by Woody Allen
Jean Hersholt Humanitarian Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Gordon E. Sawyer Award,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,Lincoln
Actor in a Supporting Role,1.0,Django Unchained
Actress in a Leading Role,1.0,Silver Linings Playbook
Actress in a Supporting Role,1.0,Les Misérables
Animated Feature Film,1.0,Mark Andrews and Brenda Chapman
Cinematography,1.0,Claudio Miranda
Costume Design,1.0,Jacqueline Durran
Directing,1.0,Ang Lee
Documentary (Feature),1.0,Malik Bendjelloul and Simon Chinn
Documentary (Short Subject),1.0,Sean Fine and Andrea Nix Fine
Film Editing,1.0,William Goldenberg
Foreign Language Film,1.0,Austria
Makeup and Hairstyling,1.0,Lisa Westcott and Julie Dartnell
Music (Original Score),1.0,Mychael Danna
Music (Original Song),1.0,Music and Lyric by Adele Adkins and Paul Epworth
Best Picture,1.0,"Grant Heslov, Ben Affleck and George Clooney, Producers"
Production Design,1.0,Production Design: Rick Carter; Set Decoration: Jim Erickson
Short Film (Animated),1.0,John Kahrs
Short Film (Live Action),1.0,Shawn Christensen
Sound Editing,1.0,Per Hallberg and Karen Baker Landers
Sound Editing,1.0,Paul N.J. Ottosson
Sound Mixing,1.0,"Andy Nelson, Mark Paterson and Simon Hayes"
Visual Effects,1.0,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott"
Writing (Adapted Screenplay),1.0,Screenplay by Chris Terrio
Writing (Original Screenplay),1.0,Written by Quentin Tarantino
Jean Hersholt Humanitarian Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,Dallas Buyers Club
Actor in a Supporting Role,1.0,Dallas Buyers Club
Actress in a Leading Role,1.0,Blue Jasmine
Actress in a Supporting Role,1.0,12 Years a Slave
Animated Feature Film,1.0,"Chris Buck, Jennifer Lee and Peter Del Vecho"
Cinematography,1.0,Emmanuel Lubezki
Costume Design,1.0,Catherine Martin
Directing,1.0,Alfonso Cuarón
Documentary (Feature),1.0,"Morgan Neville, Gil Friesen and Caitrin Rogers"
Documentary (Short Subject),1.0,Malcolm Clarke and Nicholas Reed
Film Editing,1.0,Alfonso Cuarón and Mark Sanger
Foreign Language Film,1.0,Italy
Makeup and Hairstyling,1.0,Adruitha Lee and Robin Mathews
Music (Original Score),1.0,Steven Price
Music (Original Song),1.0,Music and Lyric by Kristen Anderson-Lopez and Robert Lopez
Best Picture,1.0,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
Production Design,1.0,Production Design: Catherine Martin; Set Decoration: Beverley Dunn
