Award,Winner,Film
Animated Feature Film,,John Lasseter
Animated Feature Film,1.0,George Miller
Animated Feature Film,,Gil Kenan
Art Direction,,Art Direction: John Myhre; Set Decoration: Nancy Haigh
Art Direction,,Art Direction: Jeannine Oppewall; Set Decoration: Gretchen Rau and Leslie E. Rollins
Art Direction,1.0,Art Direction: Eugenio Caballero; Set Decoration: Pilar Revuelta
Art Direction,,Art Direction: Rick Heinrichs; Set Decoration: Cheryl Carasik
Art Direction,,Art Direction: Nathan Crowley; Set Decoration: Julie Ochipinti
Cinematography,,Vilmos Zsigmond
Cinematography,,Emmanuel Lubezki
Cinematography,,Dick Pope
Cinematography,1.0,Guillermo Navarro
Cinematography,,Wally Pfister
Costume Design,,Yee Chung Man
Costume Design,,Patricia Field
Costume Design,,Sharen Davis
Costume Design,1.0,Milena Canonero
Costume Design,,Consolata Boyle
Directing,,Alejandro González Iñárritu
Directing,1.0,Martin Scorsese
Directing,,Clint Eastwood
Directing,,Stephen Frears
Directing,,Paul Greengrass
Documentary (Feature),,Amy Berg and Frank Donner
Documentary (Feature),1.0,Davis Guggenheim
Documentary (Feature),,James Longley and John Sinno
Documentary (Feature),,Heidi Ewing and Rachel Grady
Documentary (Feature),,Laura Poitras and Jocelyn Glatzer
Documentary (Short Subject),1.0,Ruby Yang and Thomas Lennon
Documentary (Short Subject),,Leslie Iwerks and Mike Glad
Documentary (Short Subject),,Karen Goodman and Kirk Simon
Documentary (Short Subject),,Nathaniel Kahn and Susan Rose Behr
Film Editing,,Stephen Mirrione and Douglas Crise
Film Editing,,Steven Rosenblum
Film Editing,,Alex Rodríguez and Alfonso Cuarón
Film Editing,1.0,Thelma Schoonmaker
Film Editing,,"Clare Douglas, Christopher Rouse and Richard Pearson"
Foreign Language Film,,Denmark
Foreign Language Film,,Algeria
Foreign Language Film,1.0,Germany
Foreign Language Film,,Mexico
Foreign Language Film,,Canada
Makeup,,Aldo Signoretti and Vittorio Sodano
Makeup,,Kazuhiro Tsuji and Bill Corso
Makeup,1.0,David Martí and Montse Ribé
Music (Original Score),1.0,Gustavo Santaolalla
Music (Original Score),,Thomas Newman
Music (Original Score),,Philip Glass
Music (Original Score),,Javier Navarrete
Music (Original Score),,Alexandre Desplat
Music (Original Song),1.0,Music and Lyric by Melissa Etheridge
Music (Original Song),,Music by Henry Krieger and Scott Cutler; Lyric by Anne Preven
Music (Original Song),,Music by Henry Krieger; Lyric by Siedah Garrett
Music (Original Song),,Music and Lyric by Randy Newman
Music (Original Song),,Music by Henry Krieger; Lyric by Willie Reale
Best Picture,,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers"
Best Picture,1.0,"Graham King, Producer"
Best Picture,,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers"
Best Picture,,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers"
Best Picture,,"Andy Harries, Christine Langan and Tracey Seaward, Producers"
Short Film (Animated),1.0,Torill Kove
Short Film (Animated),,Gary Rydstrom
Short Film (Animated),,Roger Allers and Don Hahn
Short Film (Animated),,Géza M. Tóth
Short Film (Animated),,Chris Renaud and Michael Thurmeier
Short Film (Live Action),,Javier Fesser and Luis Manso
Short Film (Live Action),,Borja Cobeaga
Short Film (Live Action),,Søren Pilmark and Kim Magnusson
Short Film (Live Action),,Peter Templeman and Stuart Parkyn
Short Film (Live Action),1.0,Ari Sandel
Sound Editing,,Sean McCormack and Kami Asgar
Sound Editing,,Lon Bender
Sound Editing,,Alan Robert Murray and Bub Asman
Sound Editing,1.0,Alan Robert Murray and Bub Asman
Sound Editing,,Christopher Boyes and George Watters II
Sound Mixing,,"Kevin O'Connell, Greg P. Russell and Fernando Cámara"
Sound Mixing,,"Andy Nelson, Anna Behlmer and Ivan Sharrock"
Sound Mixing,1.0,"Michael Minkler, Bob Beemer and Willie Burton"
Sound Mixing,,"John Reitz, Dave Campbell, Gregg Rudloff and Walt Martin"
Sound Mixing,,"Paul Massey, Christopher Boyes and Lee Orloff"
Visual Effects,1.0,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall"
Visual Effects,,"Boyd Shermis, Kim Libreri, Chas Jarrett and John Frazier"
Visual Effects,,"Mark Stetson, Neil Corbould, Richard R. Hoover and Jon Thum"
Writing (Adapted Screenplay),,Screenplay by Sacha Baron Cohen & Anthony Hines & Peter Baynham & Dan Mazer; Story by Sacha Baron Cohen & Peter Baynham & Anthony Hines & Todd Phillips
Writing (Adapted Screenplay),,Screenplay by Alfonso Cuarón & Timothy J. Sexton and David Arata and Mark Fergus & Hawk Ostby
Writing (Adapted Screenplay),1.0,Screenplay by William Monahan
Writing (Adapted Screenplay),,Screenplay by Todd Field & Tom Perrotta
Writing (Adapted Screenplay),,Screenplay by Patrick Marber
Writing (Original Screenplay),,Written by Guillermo Arriaga
Writing (Original Screenplay),,Screenplay by Iris Yamashita; Story by Iris Yamashita & Paul Haggis
Writing (Original Screenplay),1.0,Written by Michael Arndt
Writing (Original Screenplay),,Written by Guillermo del Toro
Writing (Original Screenplay),,Written by Peter Morgan
Jean Hersholt Humanitarian Award,1.0,
Honorary Award,1.0,
Gordon E. Sawyer Award,1.0,
Award of Commendation,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,,Michael Clayton
Actor in a Leading Role,1.0,There Will Be Blood
Actor in a Leading Role,,Sweeney Todd The Demon Barber of Fleet Street
Actor in a Leading Role,,In the Valley of Elah
Actor in a Leading Role,,Eastern Promises
Actor in a Supporting Role,,The Assassination of Jesse James by the Coward Robert Ford
Actor in a Supporting Role,1.0,No Country for Old Men
Actor in a Supporting Role,,Charlie Wilson's War
Actor in a Supporting Role,,Into the Wild
Actor in a Supporting Role,,Michael Clayton
Actress in a Leading Role,,Elizabeth: The Golden Age
Actress in a Leading Role,,Away from Her
Actress in a Leading Role,1.0,La Vie en Rose
Actress in a Leading Role,,The Savages
Actress in a Leading Role,,Juno
Actress in a Supporting Role,,I'm Not There
Actress in a Supporting Role,,American Gangster
Actress in a Supporting Role,,Atonement
Actress in a Supporting Role,,Gone Baby Gone
Actress in a Supporting Role,1.0,Michael Clayton
Animated Feature Film,,Marjane Satrapi and Vincent Paronnaud
Animated Feature Film,1.0,Brad Bird
Animated Feature Film,,Ash Brannon and Chris Buck
Art Direction,,Art Direction: Arthur Max; Set Decoration: Beth A. Rubino
Art Direction,,Art Direction: Sarah Greenwood; Set Decoration: Katie Spencer
Art Direction,,Art Direction: Dennis Gassner; Set Decoration: Anna Pinnock
Art Direction,1.0,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
Art Direction,,Art Direction: Jack Fisk; Set Decoration: Jim Erickson
Cinematography,,Roger Deakins
Cinematography,,Seamus McGarvey
Cinematography,,Janusz Kaminski
Cinematography,,Roger Deakins
Cinematography,1.0,Robert Elswit
Costume Design,,Albert Wolsky
Costume Design,,Jacqueline Durran
Costume Design,1.0,Alexandra Byrne
Costume Design,,Marit Allen
Costume Design,,Colleen Atwood
