,Movie,Rating,Release Date,Runtime,Metascore,IMDb Rating,Box Office,Awards,Production Company
75,Vicky Cristina Barcelona,PG-13,15 Aug 2008,96 min,70,7.1,"$23,164,041",Won 1 Oscar. Another 31 wins & 53 nominations.,The Weinstein Co.
76,Last Days,R,13 May 2005,97 min,67,5.8,"$356,500",1 win & 5 nominations.,Picture House
77,Sunshine,R,27 Jul 2007,107 min,64,7.3,N/A,1 win & 18 nominations.,N/A
78,A Christmas Carol,PG,06 Nov 2009,96 min,55,6.8,"$137,816,456",3 wins & 5 nominations.,Walt Disney Studios
79,iCarly: iGo to Japan,TV-G,08 Nov 2008,71 min,N/A,6.4,N/A,N/A,N/A
80,One Heart: The A.R. Rahman Concert Film,N/A,08 Sep 2017,87 min,N/A,8.9,N/A,N/A,N/A
81,Crazy Heart,R,05 Feb 2010,112 min,83,7.3,"$38,349,555",Won 2 Oscars. Another 36 wins & 29 nominations.,Fox Searchlight Pictures
82,Up in the Air,R,23 Dec 2009,109 min,83,7.4,"$83,775,048",Nominated for 6 Oscars. Another 76 wins & 158 nominations.,Paramount Pictures
83,A Single Man,R,05 Feb 2010,99 min,77,7.6,"$9,098,668",Nominated for 1 Oscar. Another 36 wins & 55 nominations.,The Weinstein Company
84,Invictus,PG-13,11 Dec 2009,134 min,74,7.3,"$37,431,431",Nominated for 2 Oscars. Another 10 wins & 33 nominations.,Warner Bros. Pictures
85,The Hurt Locker,R,31 Jul 2009,131 min,94,7.6,"$15,700,000",Won 6 Oscars. Another 117 wins & 126 nominations.,Summit Entertainment
86,The Messenger,R,04 Dec 2009,113 min,77,7.1,"$1,006,655",Nominated for 2 Oscars. Another 17 wins & 44 nominations.,Oscilloscope Pictures
87,The Last Station,R,26 Feb 2010,112 min,76,7.0,"$6,500,000",Nominated for 2 Oscars. Another 3 wins & 15 nominations.,Sony Pictures Classics
88,The Lovely Bones,PG-13,15 Jan 2010,135 min,42,6.7,"$43,982,842",Nominated for 1 Oscar. Another 10 wins & 45 nominations.,Paramount Pictures
89,Inglourious Basterds,R,21 Aug 2009,153 min,69,8.3,"$120,523,073",Won 1 Oscar. Another 129 wins & 165 nominations.,The Weinstein Company
90,The Blind Side,PG-13,20 Nov 2009,129 min,53,7.7,"$255,900,000",Won 1 Oscar. Another 7 wins & 30 nominations.,Warner Bros. Pictures
91,An Education,PG-13,05 Feb 2010,100 min,85,7.3,"$12,512,069",Nominated for 3 Oscars. Another 35 wins & 91 nominations.,Sony Classics
92,Precious,R,20 Nov 2009,110 min,79,7.3,"$47,536,959",Won 2 Oscars. Another 111 wins & 98 nominations.,Lionsgate Films
93,Julie,APPROVED,17 Oct 1956,99 min,N/A,6.2,N/A,N/A,Warner Home Video
94,Nine,PG-13,25 Dec 2009,118 min,49,5.8,"$19,628,665",Nominated for 4 Oscars. Another 8 wins & 56 nominations.,The Weinstein Co.
95,Titanic: The Final Word with James Cameron,N/A,08 Apr 2012,120 min,N/A,7.7,N/A,N/A,N/A
96,Quentin Tarantino: 20 Years of Filmmaking,N/A,20 Nov 2012,125 min,N/A,7.1,N/A,N/A,N/A
97,The Butler,N/A,16 Mar 2017,70 min,N/A,7.6,N/A,N/A,N/A
98,Imagining Argentina,R,16 Apr 2004,107 min,27,6.3,N/A,1 nomination.,Arenas Entertainment
99,Hans Zimmer: Live in Prague,NOT RATED,03 Nov 2017,150 min,N/A,9.1,N/A,N/A,N/A
100,Biutiful,R,04 Feb 2011,148 min,58,7.5,"$5,100,937",Nominated for 2 Oscars. Another 18 wins & 45 nominations.,Roadside Attractions
101,True Grit,PG-13,22 Dec 2010,110 min,80,7.6,"$171,031,347",Nominated for 10 Oscars. Another 37 wins & 153 nominations.,Paramount Pictures
102,The Social Network,PG-13,01 Oct 2010,120 min,95,7.7,"$96,400,000",Won 3 Oscars. Another 165 wins & 168 nominations.,Columbia Pictures
103,The King's Speech,R,25 Dec 2010,118 min,88,8.0,"$138,300,000",Won 4 Oscars. Another 102 wins & 194 nominations.,The Weinstein Company
