,Unnamed: 0,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,noms,wins,nominations,oscar_wins
94,94,True Grit,2010-12-22,22 Dec 2010,38000000.0,252276927.0,171031347.0,Drama,PG-13,110.0,80.0,7.6,Nominated for 10 Oscars. Another 37 wins & 153 nominations.,Paramount Pictures,Nominated for 10 Oscars. Another 37 wins ,37.0,153.0,
95,95,The Social Network,2010-10-01,01 Oct 2010,40000000.0,224920315.0,96400000.0,Drama,PG-13,120.0,95.0,7.7,Won 3 Oscars. Another 165 wins & 168 nominations.,Columbia Pictures,Won 3 Oscars. Another 165 wins ,165.0,168.0,
96,96,The King's Speech,2010-09-06,25 Dec 2010,15000000.0,414211549.0,138300000.0,Drama,R,118.0,88.0,8.0,Won 4 Oscars. Another 102 wins & 194 nominations.,The Weinstein Company,Won 4 Oscars. Another 102 wins ,102.0,194.0,
97,97,127 Hours,2010-11-05,28 Jan 2011,18000000.0,35692920.0,18329466.0,Adventure,R,94.0,82.0,7.6,Nominated for 6 Oscars. Another 23 wins & 141 nominations.,Fox Searchlight,Nominated for 6 Oscars. Another 23 wins ,23.0,141.0,
98,98,The Fighter,2010-12-17,17 Dec 2010,25000000.0,93617009.0,93571803.0,Drama,R,116.0,79.0,7.8,Won 2 Oscars. Another 72 wins & 116 nominations.,Paramount Pictures,Won 2 Oscars. Another 72 wins ,72.0,116.0,
99,99,Winter's Bone,2010-06-11,16 Jul 2010,2000000.0,13831503.0,6200000.0,Drama,R,100.0,90.0,7.2,Nominated for 4 Oscars. Another 63 wins & 120 nominations.,Roadside Attractions,Nominated for 4 Oscars. Another 63 wins ,63.0,120.0,
100,100,The Town,2010-09-15,17 Sep 2010,37000000.0,154026136.0,92173235.0,Crime,R,125.0,74.0,7.6,Nominated for 1 Oscar. Another 9 wins & 45 nominations.,Warner Bros. Pictures,Nominated for 1 Oscar. Another 9 wins ,9.0,45.0,
101,101,The Kids Are All Right,2010-07-09,30 Jul 2010,3500000.0,34705850.0,20803237.0,Comedy,R,106.0,86.0,7.0,Nominated for 4 Oscars. Another 28 wins & 120 nominations.,Focus Features,Nominated for 4 Oscars. Another 28 wins ,28.0,120.0,
102,102,Rabbit Hole,2010-12-16,28 Jan 2011,5000000.0,5129058.0,2221809.0,Drama,PG-13,91.0,76.0,7.0,Nominated for 1 Oscar. Another 7 wins & 40 nominations.,Lionsgate Films,Nominated for 1 Oscar. Another 7 wins ,7.0,40.0,
103,103,Black Swan,2010-12-03,17 Dec 2010,13000000.0,327803731.0,106952327.0,Drama,R,108.0,79.0,8.0,Won 1 Oscar. Another 91 wins & 257 nominations.,Fox Searchlight,Won 1 Oscar. Another 91 wins ,91.0,257.0,
104,104,Blue Valentine,2010-12-27,28 Jan 2011,3500000.0,16566240.0,9600000.0,Drama,R,112.0,81.0,7.4,Nominated for 1 Oscar. Another 9 wins & 52 nominations.,Weinstein Company,Nominated for 1 Oscar. Another 9 wins ,9.0,52.0,
105,105,Animal Kingdom,2010-06-03,03 Jun 2010,5000000.0,1000000.0,1000000.0,Drama,R,113.0,83.0,7.3,Nominated for 1 Oscar. Another 38 wins & 54 nominations.,Sony Pictures Classics,Nominated for 1 Oscar. Another 38 wins ,38.0,54.0,
106,106,A Better Life,2011-06-24,28 Jul 2011,10000000.0,1759252.0,1754319.0,Drama,PG-13,98.0,64.0,7.2,Nominated for 1 Oscar. Another 6 wins & 8 nominations.,Summit Entertainment,Nominated for 1 Oscar. Another 6 wins ,6.0,8.0,
107,107,The Descendants,2011-09-09,09 Dec 2011,20000000.0,177243185.0,78500000.0,Comedy,R,115.0,84.0,7.3,Won 1 Oscar. Another 66 wins & 142 nominations.,Fox Searchlight Pictures,Won 1 Oscar. Another 66 wins ,66.0,142.0,
108,108,The Artist,2011-06-26,20 Jan 2012,15000000.0,133432856.0,44667095.0,Drama,PG-13,100.0,89.0,7.9,Won 5 Oscars. Another 145 wins & 188 nominations.,The Weinstein Company,Won 5 Oscars. Another 145 wins ,145.0,188.0,
109,109,Tinker Tailor Soldier Spy,2011-09-16,06 Jan 2012,30000000.0,80630608.0,20200000.0,Drama,R,122.0,85.0,7.1,Nominated for 3 Oscars. Another 35 wins & 93 nominations.,Focus Features,Nominated for 3 Oscars. Another 35 wins ,35.0,93.0,
110,110,Moneyball,2011-09-22,23 Sep 2011,50000000.0,110206216.0,75605492.0,Drama,PG-13,133.0,87.0,7.6,Nominated for 6 Oscars. Another 29 wins & 75 nominations.,Sony Pictures,Nominated for 6 Oscars. Another 29 wins ,29.0,75.0,
111,111,My Week with Marilyn,2011-11-23,23 Dec 2011,6400000.0,35057696.0,12600000.0,Drama,R,99.0,65.0,7.0,Nominated for 2 Oscars. Another 19 wins & 59 nominations.,The Weinstein Company,Nominated for 2 Oscars. Another 19 wins ,19.0,59.0,
112,112,Warrior,2011-09-09,09 Sep 2011,25000000.0,23057115.0,13600000.0,Action,PG-13,140.0,71.0,8.2,Nominated for 1 Oscar. Another 6 wins & 20 nominations.,Lionsgate,Nominated for 1 Oscar. Another 6 wins ,6.0,20.0,
113,113,Beginners,2011-06-09,09 Jun 2011,3200000.0,14311701.0,5764842.0,Drama,R,105.0,81.0,7.2,Won 1 Oscar. Another 34 wins & 29 nominations.,Focus Features,Won 1 Oscar. Another 34 wins ,34.0,29.0,
114,114,Extremely Loud & Incredibly Close,2011-12-24,20 Jan 2012,40000000.0,55247881.0,31836745.0,Drama,PG-13,129.0,46.0,6.9,Nominated for 2 Oscars. Another 8 wins & 23 nominations.,Warner Bros. Pictures,Nominated for 2 Oscars. Another 8 wins ,8.0,23.0,
115,115,Albert Nobbs,2011-12-21,22 Feb 2012,8000000.0,5634828.0,3014541.0,Drama,R,113.0,57.0,6.7,Nominated for 3 Oscars. Another 19 wins & 39 nominations.,Roadside Attractions,Nominated for 3 Oscars. Another 19 wins ,19.0,39.0,
116,116,The Help,2011-08-09,10 Aug 2011,25000000.0,124272124.0,169705587.0,Drama,PG-13,146.0,62.0,8.1,Won 1 Oscar. Another 79 wins & 116 nominations.,DreamWorks Studios,Won 1 Oscar. Another 79 wins ,79.0,116.0,
117,117,The Girl with the Dragon Tattoo,2011-12-14,21 Dec 2011,90000000.0,232617430.0,102515793.0,Thriller,R,158.0,71.0,7.8,Won 1 Oscar. Another 27 wins & 90 nominations.,Sony Pictures,Won 1 Oscar. Another 27 wins ,27.0,90.0,
118,118,The Iron Lady,2011-12-30,13 Jan 2012,13000000.0,114956699.0,29959436.0,History,PG-13,105.0,54.0,6.4,Won 2 Oscars. Another 23 wins & 47 nominations.,The Weinstein Co.,Won 2 Oscars. Another 23 wins ,23.0,47.0,
