,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,wins,nominations,Win or Nominated,Oscar Wins
404,Mitch Albom's For One More Day,2007-12-09,09 Dec 2007,0.0,0.0,0.0,Drama,,120.0,,5.8,"N++1Primetime Emmy, ++++1,9",Harpo Films,1.0,9.0,,1
405,Alles wegen Robert De Niro,1996-12-04,04 Dec 1996,0.0,0.0,0.0,Comedy,,90.0,,8.3,"0, 0, 0, 0,",,0.0,,,0
406,Brave,2012-06-21,22 Jun 2012,185000000.0,538983207.0,237282182.0,Animation,PG,93.0,69.0,7.1,"W1O, ++18,48",Walt Disney Pictures,18.0,48.0,W,1
407,Frankenweenie,2012-10-04,05 Oct 2012,39000000.0,35287788.0,35287788.0,Animation,PG,87.0,74.0,7.0,"N1O, ++1++1,49",Walt Disney Pictures,11.0,49.0,N,1
408,ParaNorman,2012-08-03,17 Aug 2012,60000000.0,107139399.0,55994557.0,Family,PG,92.0,72.0,7.0,"N1O, ++19,45",Focus Features,19.0,45.0,N,1
409,Wreck-It Ralph,2012-11-01,02 Nov 2012,165000000.0,471222889.0,189412677.0,Family,PG,101.0,72.0,7.7,"N1O, ++33,41",Walt Disney Pictures,33.0,41.0,N,1
410,Anna Karenina,2012-09-06,07 Sep 2012,0.0,68929150.0,12802907.0,Drama,R,129.0,63.0,6.6,"W1O, ++3++1,51",Focus Features,31.0,51.0,W,1
411,Life of Pi,2012-11-20,21 Nov 2012,120000000.0,609016565.0,103500000.0,Adventure,PG,127.0,79.0,7.9,"W4O, ++78,129",20th Century Fox,78.0,129.0,W,4
412,Skyfall,2012-10-25,09 Nov 2012,200000000.0,1108561013.0,299300000.0,Action,PG-13,143.0,81.0,7.8,"W2O, ++65,119",MGM,65.0,119.0,W,2
413,Mirror Mirror,2012-03-15,30 Mar 2012,85000000.0,183018522.0,64933670.0,Adventure,PG,106.0,46.0,5.6,"N1O, ++2,8",Relativity Media,2.0,8.0,N,1
414,Snow White and the Huntsman,2012-05-30,01 Jun 2012,170000000.0,396600000.0,155081785.0,Adventure,PG-13,127.0,57.0,6.1,"N2O, ++13,31",Universal Pictures,13.0,31.0,N,2
415,Five Broken Cameras,2011-11-23,,0.0,0.0,108541.0,War,NOT RATED,94.0,78.0,8.0,"N1O, ++18,6",Kino Lorber Films,18.0,6.0,N,1
416,The Gatekeepers,2012-07-09,14 Mar 2013,0.0,0.0,2408553.0,Documentary,PG-13,101.0,91.0,7.6,"N1O, ++7,10",Sony Pictures Classics,7.0,10.0,N,1
417,How to Survive a Plague,2012-09-20,08 Nov 2013,0.0,0.0,122665.0,Documentary,NOT RATED,110.0,86.0,7.6,"N1O, ++13,19",Sundance Selects,13.0,19.0,N,1
418,The Invisible War,2012-01-20,20 Jan 2012,0.0,0.0,66167.0,Crime,NOT RATED,93.0,75.0,7.6,"N1O, ++10,13",Cinedigm,10.0,13.0,N,1
419,Searching for Sugar Man,2012-06-30,26 Jul 2012,0.0,0.0,3100000.0,Documentary,PG-13,86.0,79.0,8.2,"W1O, ++39,30",Sony Pictures Classics,39.0,30.0,W,1
420,Born Innocent,1974-09-10,10 Sep 1974,0.0,0.0,0.0,Drama,NOT RATED,98.0,,6.6,1,Tomorrow Entertainment,,,,1
421,The Shawshank Redemption,1994-09-23,14 Oct 1994,25000000.0,28341469.0,0.0,Drama,R,142.0,80.0,9.3,"N7O, ++19,32",Columbia Pictures,19.0,32.0,N,7
422,Kon-Tiki,2012-08-24,26 Apr 2013,16600000.0,0.0,1511798.0,Adventure,PG-13,118.0,62.0,7.2,"N1O, ++12,13",The Weinstein Company,12.0,13.0,N,1
423,Dr. No,1962-10-04,07 Oct 1962,950000.0,59600000.0,0.0,Adventure,PG,110.0,78.0,7.3,"W1GG, ++++1,4",United Artists,1.0,4.0,W,1
424,Rebelle,2012-02-17,,0.0,0.0,0.0,Drama,,0.0,,,"0, 0, 0, 0,",,0.0,,,0
425,Hitchcock,2012-11-22,14 Dec 2012,0.0,23570541.0,6002708.0,Drama,PG-13,98.0,55.0,6.8,"N1O, ++4,28",Fox Searchlight Pictures,4.0,28.0,N,1
426,The Hobbit: An Unexpected Journey,2012-11-26,14 Dec 2012,250000000.0,1021103568.0,303001229.0,Adventure,PG-13,169.0,58.0,7.9,"N3O, ++10,72",Warner Bros.,10.0,72.0,N,3
427,Adam and Dog,2013-02-01,06 Nov 2012,0.0,0.0,0.0,Animation,TV-PG,16.0,,6.9,"N1O, ++++1,,",,1.0,,N,1
428,Fresh Guacamole,2012-03-02,02 Mar 2012,0.0,0.0,0.0,Animation,,2.0,,7.4,"N1O, ++1",,0.0,,N,1
429,Head Over Heels,2001-02-02,02 Feb 2001,14000000.0,10424470.0,9892550.0,Comedy,PG-13,86.0,27.0,5.4,"0, 0, 0, 0,",Universal Pictures,0.0,,,0
430,Paperman,2012-11-02,02 Nov 2012,0.0,0.0,0.0,Animation,G,7.0,,8.3,"W1O, ++2,2",Walt Disney Pictures,2.0,2.0,W,1
