,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Production Company,wins,nominations,Win or Nominated,Oscar Wins
307,Sherlock Holmes,2009-12-23,25 Dec 2009,90000000.0,524028679.0,208711166.0,Action,PG-13,128.0,57.0,7.6,Warner Bros. Pictures/Village Roadshow,10.0,27.0,N,2
308,The Young Victoria,2009-03-04,08 Jan 2010,35000000.0,31878891.0,10900000.0,Drama,PG,105.0,64.0,7.3,Apparition,12.0,17.0,W,1
309,Harry Potter and the Half-Blood Prince,2009-07-07,15 Jul 2009,250000000.0,933959197.0,301920409.0,Adventure,PG,153.0,78.0,7.6,Warner Bros. Pictures,8.0,35.0,N,1
310,Bright Star,2009-11-05,09 Oct 2009,10000000.0,0.0,4341275.0,Drama,PG,119.0,81.0,7.0,Apparition Films,16.0,52.0,N,1
311,The Cove,2009-07-31,07 Aug 2009,0.0,1162422.0,619467.0,Documentary,PG-13,92.0,84.0,8.5,Roadside Attractions,39.0,17.0,W,1
312,"Food, Inc.",2008-09-07,31 Jul 2009,0.0,0.0,4238694.0,Documentary,PG,94.0,80.0,7.8,Magnolia Pictures,7.0,19.0,N,1
313,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2009-10-16,17 Oct 2009,0.0,0.0,453483.0,Documentary,Not Listed,92.0,75.0,7.8,First Run Features,5.0,2.0,N,1
314,Which Way Home,2009-01-31,31 Jan 2009,0.0,0.0,0.0,Documentary,Not Listed,90.0,0,7.9,HBO Films,3.0,4.0,N,1
315,China's Unnatural Disaster: The Tears of Sichuan Province,2009-05-07,21 Jan 2010,0.0,0.0,0.0,Documentary,Not Listed,38.0,0,7.5,HBO,2.0,1.0,N,1
316,The Last Truck: Closing of a GM Plant,2009-09-07,29 Nov 2012,0.0,0.0,0.0,Documentary,NOT RATED,40.0,0,7.0,HBO,1.0,2.0,N,1
317,Music by Prudence,2010-04-01,12 May 2010,0.0,0.0,0.0,Documentary,Not Listed,32.0,0,7.5,HBO Films,0.0,Not Listed,W,1
318,District 9,2009-08-05,14 Aug 2009,30000000.0,210819611.0,115646235.0,Science Fiction,R,112.0,81.0,7.9,Sony Pictures/Screen Gems,30.0,110.0,N,4
319,Ajami,2009-09-17,17 Sep 2009,0.0,0.0,500000.0,Crime,NOT RATED,124.0,82.0,7.4,Kino International,15.0,9.0,N,1
320,Il Divo,2008-05-28,28 May 2008,7275000.0,11260366.0,200000.0,Drama,NOT RATED,110.0,81.0,7.3,Music Box Films,30.0,36.0,N,1
321,Star Trek,2009-05-06,08 May 2009,150000000.0,385680446.0,257704099.0,Science Fiction,PG-13,127.0,82.0,8.0,IMAX,23.0,92.0,W,1
322,A Serious Man,2009-10-02,06 Nov 2009,7000000.0,31430334.0,9190525.0,Comedy,R,106.0,79.0,7.0,Focus Features,17.0,72.0,N,2
323,French Roast,2008-09-30,19 Feb 2010,0.0,0.0,0.0,Animation,TV-PG,8.0,0,7.1,Not Listed,9.0,7.0,N,1
324,Granny O'Grimm's Sleeping Beauty,2008-01-01,31 May 2008,0.0,0.0,0.0,Animation,NOT RATED,6.0,0,6.4,Not Listed,1.0,Not Listed,N,1
325,Logorama,2009-01-01,05 Oct 2011,0.0,0.0,0.0,Animation,R,16.0,0,7.6,Not Listed,8.0,5.0,W,1
326,A Matter of Loaf and Death,2008-12-03,01 Jan 2010,0.0,0.0,0.0,Animation,Not Listed,30.0,0,7.6,LionsGate Entertainment,2.0,4.0,N,1
328,Instead of Abracadabra,2008-01-23,12 Mar 2010,0.0,0.0,0.0,Action,Not Listed,22.0,0,7.3,Not Listed,2.0,2.0,N,1
329,Miracle Fish,2009-01-16,12 Mar 2010,0.0,0.0,0.0,Drama,TV-PG,17.0,0,7.2,Blue-Tongue Films,12.0,Not Listed,N,1
330,The New Tenants,2009-01-01,06 Mar 2010,0.0,0.0,0.0,Comedy,TV-14,21.0,0,6.7,Park Pictures,0.0,Not Listed,W,1
331,Transformers: Revenge of the Fallen,2009-06-19,24 Jun 2009,150000000.0,836297228.0,402076689.0,Science Fiction,PG-13,150.0,35.0,6.0,Paramount/Dreamworks,15.0,27.0,N,1
332,In the Loop,2009-01-22,04 Sep 2009,0.0,6149791.0,2251324.0,Comedy,NOT RATED,106.0,83.0,7.5,IFC,16.0,41.0,N,1
336,How to Train Your Dragon,2010-03-05,26 Mar 2010,165000000.0,494878759.0,216900000.0,Fantasy,PG,98.0,74.0,8.1,Paramount/DWA,25.0,60.0,N,2
337,Toy Story 3,2010-06-16,18 Jun 2010,200000000.0,1066969703.0,414984497.0,Animation,G,103.0,92.0,8.3,Walt Disney Pictures,58.0,91.0,W,2
338,Alice in Wonderland,2010-03-03,05 Mar 2010,200000000.0,1025491110.0,319323000.0,Family,PG,108.0,53.0,6.5,Walt Disney Pictures,31.0,62.0,W,2
339,Harry Potter and the Deathly Hallows: Part 1,2010-10-17,19 Nov 2010,250000000.0,954305868.0,294980434.0,Adventure,PG-13,146.0,65.0,7.7,Warner Bros. Pictures,15.0,53.0,N,2
340,Inception,2010-07-15,16 Jul 2010,160000000.0,825532764.0,292568851.0,Action,PG-13,148.0,74.0,8.8,Warner Bros. Pictures,152.0,204.0,W,4
341,The Tempest,2010-12-10,07 Jan 2011,20000000.0,346594.0,277515.0,Drama,PG-13,110.0,43.0,5.4,Touchstone Pictures/Miramax Films,2.0,3.0,N,1
342,Exit Through the Gift Shop,2010-01-24,14 May 2010,0.0,4790751.0,3288699.0,Documentary,R,87.0,85.0,8.0,Abarorama,24.0,28.0,N,1
343,Inside Job,2010-10-08,12 Nov 2010,2000000.0,7871522.0,4311834.0,Documentary,PG-13,109.0,88.0,8.3,Sony Pictures Classics,7.0,26.0,W,1
344,Restrepo,2010-06-25,06 Aug 2010,0.0,1422910.0,1330894.0,Documentary,R,93.0,85.0,7.5,National Geographic,10.0,19.0,N,1
345,Waste Land,2010-01-24,21 Jan 2011,1500000.0,187716.0,100000.0,Documentary,NOT RATED,99.0,78.0,7.9,Arthouse Films,27.0,10.0,N,1
348,Incendies,2010-09-04,12 Jan 2011,10000000.0,0.0,6857096.0,Drama,R,131.0,80.0,8.2,Sony Pictures Classics,39.0,15.0,N,1
349,Barney's Version,2010-10-26,18 Feb 2011,30000000.0,8454301.0,7501404.0,Comedy,R,134.0,67.0,7.3,Sony Classics,18.0,18.0,N,1
